axis,value,trace_cl,trace_st,trace_fo,trace_ni,kl_cl,kl_st,kl_ni,trace_gap,trace_lo,trace_hi,kl_gap,kl_lo,kl_hi,sig_trace,sig_kl
K,1,0.028612755647920957,0.07370739682605763,0.009013807573703628,0.0725206079843761,20.424418647691052,20.63997205714331,20.604834158928075,-0.045103863651918825,-0.04856542413959478,-0.04169509748913333,-0.21196712919492378,-0.40376457352680595,-0.017324352120970436,True,True
K,2,1.7154884354806774,1.7341270410022005,1.3641630058297771,6.611056775740103,17.5931717615016,17.038075315550063,15.186189052625952,-0.0197868121756386,-0.11144045623445194,0.064794334284121,0.5561582794336114,0.33875303206971863,0.7754872996714802,False,True
K,3,1.2153615951894718,1.3916448751598787,1.213759313009362,8.534053130645471,16.404889228344835,15.615831274126213,7.581512243833863,-0.1766008363544533,-0.2251516327655832,-0.1316270216745965,0.7907188521732703,0.6580585149549849,0.9174072174874509,True,True
K,5,1.2439855328804508,1.3748511658640372,0.8597432826929067,8.031528007144775,17.32320366047281,16.891468289570945,12.265461829379941,-0.13238444954152717,-0.20269778561668694,-0.06494063372830082,0.4328319710050238,0.30975089430212555,0.5508653144592842,True,True
K,8,1.1250450895628485,1.3065444512037085,0.7452523769652056,9.442818138032703,17.156291353437403,16.807283899341392,8.84583269525486,-0.18242731025739164,-0.24381715989763483,-0.12485962484851366,0.3495525575316869,0.23715920345615266,0.46156696355704324,True,True
inter_dist,2.0,0.18057343747299015,0.2815091459488946,0.1527065846563369,0.7610409552583229,18.28911537484843,17.033046657282686,10.5818531562276,-0.10084224374153962,-0.1132319653474193,-0.0891721712318895,1.253486956353227,1.0768517154718726,1.416861123371806,True,True
inter_dist,5.0,1.2153615951894718,1.3916448751598787,1.213759313009362,8.534053130645471,16.404889228344835,15.615831274126213,7.581512243833863,-0.17737786930591906,-0.22389240340624558,-0.12907947965510572,0.7894594853628483,0.6599787508561921,0.9133468759613803,True,True
inter_dist,10.0,5.095239473794939,5.683905822966372,4.4971719464979,41.094614192409104,16.053462588571243,15.866477749139278,6.745059843378867,-0.5897178988574228,-0.8783456679810452,-0.31506728985572874,0.18895193749889003,0.025584359873386833,0.3511733583680743,True,True
sigma,0.3,1.2528847956574736,1.4021227977980533,1.150299982542855,9.441002761208129,15.987813258602966,15.77945203574989,7.11470438153969,-0.14777980546455205,-0.21745621987042485,-0.07677192344321329,0.20936137425452675,0.10621956066787637,0.31616457270663856,True,True
sigma,0.8,1.2153615951894718,1.3916448751598787,1.213759313009362,8.534053130645471,16.404889228344835,15.615831274126213,7.581512243833863,-0.17676157438627205,-0.22454375231541404,-0.12516520118920124,0.7886335871894492,0.6617803505062655,0.9072403436214919,True,True
sigma,2.0,1.18601032335044,1.643356956326042,1.0653907320630216,7.1700753615020405,17.834507705277403,16.77805089903349,10.459009748533536,-0.45596232340452514,-0.5319631166286877,-0.379298963212849,1.054565020941523,0.9225228796942794,1.1838611227011808,True,True
weights,uniform,1.2153615951894718,1.3916448751598787,1.213759313009362,8.534053130645471,16.404889228344835,15.615831274126213,7.581512243833863,-0.17747654497087553,-0.2232167800798536,-0.12816189971132655,0.7896388972141641,0.6563237751906363,0.9193206561326236,True,True
weights,skewed,1.1923672753938255,1.1872607431662296,1.3736699798638798,6.442059063092413,16.515034305901665,16.496817818905008,6.976688977103139,0.00635924110675247,-0.05190662918031129,0.0616917540575551,0.018076699247789447,-0.09919663406637716,0.13082224874672388,False,False
