mode,seed,alpha,trace_sigma_T,trace_sigma_0,kl_T,gini_T,entropy_T
static,0,0.0,8.075277572296152,29.48824335129444,3.6539199714677792,0.7239000000000007,4.698123085439975
static,1,0.0,2.183922692635842,31.059682589580568,7.573975038228323,0.817813333333334,4.293133096086448
static,2,0.0,6.997461514278801,29.386737406006404,5.42554524090146,0.8188022222222229,4.265150668853446
static,3,0.0,1.908271117475493,30.401033627637844,8.204465835109028,0.7748800000000008,4.461964920392321
static,4,0.0,0.716922240307744,30.007692382015843,12.823013709248823,0.7652555555555562,4.508064271499527
static,0,0.2,3.8737577273569466,29.28483322859318,5.393933737768721,0.3433638314695603,5.512845562341684
static,1,0.2,1.1323918107575357,30.33235711185385,10.08798351872808,0.4033599814621739,5.445222932434067
static,2,0.2,1.5797155100825544,28.843711676996595,10.31425352347513,0.526307692307694,5.235883800101023
static,3,0.2,2.4876883772003042,29.917781273517633,11.185607099344653,0.40080038000237694,5.435436938563386
static,4,0.2,1.7912805799310125,29.65340327277408,12.43679102540681,0.3668452994389122,5.488335107133808
static,0,0.4,0.807254323984534,28.972715868192374,11.60843540990027,0.5943588017502539,5.070828656815598
static,1,0.4,0.7187809744163329,29.711815437674808,12.814730629595179,0.4995028636884332,5.271331641806422
static,2,0.4,1.3420184202241865,28.397722133981837,12.013830926962562,0.46811193526635375,5.346663827544258
static,3,0.4,1.5365870024905564,29.5161096941178,12.958676381049255,0.4917466896948782,5.298393804638185
static,4,0.4,1.138510871387715,29.14386816673451,13.566081111641243,0.5115755120414156,5.273655909060494
static,0,0.5,0.9039992136749048,28.874684198405028,13.649981395748316,0.47147603121516346,5.3128169759368085
static,1,0.5,0.550583676064568,29.31750772942794,14.863637713811627,0.5530527497194175,5.181040341826872
static,2,0.5,0.8298254374130689,28.291409922244235,13.626102911576531,0.5603973063973077,5.166936444470656
static,3,0.5,1.1888204212469786,29.151700088839913,14.525857627840463,0.5133401406852753,5.254499110023451
static,4,0.5,1.078923589939196,28.83195084112247,15.142826537174027,0.5295723014256635,5.223072435842557
static,0,0.7,0.6723453660624612,28.46706225621183,17.634215601353795,0.5539027283511282,5.133417842595958
static,1,0.7,0.8957336511978199,28.51525019830236,16.89391863754082,0.5834761702729476,5.095655249818442
static,2,0.7,0.9790708580522504,27.78435841531251,17.171080543232137,0.6166019801980208,5.018161205166727
static,3,0.7,1.005102739039391,28.46511196213657,17.071579215552706,0.5784333182980019,5.099897544845861
static,4,0.7,0.5997007406471904,28.432391023837784,17.21122742632855,0.579230882137092,5.081804136624754
static,0,0.9,1.1177521539195931,28.240592436283208,19.061751379801212,0.5345336658354127,5.17838775310694
static,1,0.9,1.1456664528621736,27.770326829169523,18.35693867817246,0.5120108608848439,5.229033141256817
static,2,0.9,1.3134192986440658,27.330616661606832,18.309523815812234,0.5582950285248589,5.1371477593301496
static,3,0.9,1.4396928662849735,28.058246737137505,18.13661029374227,0.5346114670609511,5.18395004528492
static,4,0.9,1.20423873589069,27.75297285308939,18.731279952334653,0.5199717514124312,5.181057492071684
