part,sigma_k,seed,tr_closed,tr_static,tr_gap
C,0.3,0,0.4461058118212164,0.41565530988512006,0.03045050193609633
C,0.3,1,0.4739389172482584,0.4770026445410451,-0.0030637272927867
C,0.3,2,0.5439718918445504,0.5601347984882002,-0.016162906643649833
C,0.3,3,0.43154807583004134,0.4357193718191494,-0.004171295989108037
C,0.3,4,0.5506649452376228,0.5691603122802431,-0.018495367042620336
C,0.3,5,0.4736145004359937,0.506266803287105,-0.03265230285111137
C,0.8,0,3.3672913141798095,3.2860834019995493,0.08120791218026024
C,0.8,1,3.5705907560056485,3.68726892234305,-0.11667816633740147
C,0.8,2,4.365510803152668,4.519192503059842,-0.15368169990717373
C,0.8,3,3.264835660584799,3.219614182876278,0.04522147770852092
C,0.8,4,3.8254977240527235,3.7813726078227154,0.04412511623000803
C,0.8,5,3.6307853967734793,3.570092424733923,0.06069297203955637
C,2.0,0,20.68907241432858,20.570259941650665,0.1188124726779165
C,2.0,1,22.285245377147984,22.81599396103279,-0.5307485838848081
C,2.0,2,29.336280835550195,30.174278083229513,-0.8379972476793185
C,2.0,3,20.75147810080824,22.77215105233022,-2.0206729515219806
C,2.0,4,24.265495488147778,23.557518221571996,0.7079772665757815
C,2.0,5,22.979810393711546,24.541561449070134,-1.561751055358588
